CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
427673;501830;40039;57718;243591;0;0;2456
398375;469908;38391;54182;231506;0;0;2464
402892;479552;38940;54670;233031;0;0;2472
404540;473143;37414;55039;226318;0;0;2480
408934;479063;38940;56504;236327;0;0;2488
426940;485899;41259;56339;242553;1831;0;2496
429564;486815;37780;56295;236694;2075;0;2504
437926;492003;40832;56448;241637;3113;0;2512
437011;517027;41626;56300;236754;2197;0;2520
437010;516417;46509;56240;252135;2442;0;2528
448730;547789;46143;59326;253479;2807;0;2536
449340;531127;46814;57230;249633;2564;0;2544
453918;541563;49987;58205;257812;2563;0;2552
451171;537047;46508;57613;252197;3845;0;2560
528991;619871;57617;60861;276855;2990;0;2568
443724;530822;46753;58636;253479;2808;0;2576
453063;532531;46630;59538;259887;2014;0;2584
468871;558287;48462;59323;262939;2319;0;2592
450072;564451;51147;57499;255736;0;0;2600
430724;515685;41687;58154;245666;0;0;2608
432982;514037;43152;58573;254272;0;0;2616
453551;531309;41687;59502;253417;0;0;2624
447020;518431;41565;59196;247680;0;0;2632
453734;546202;47180;59179;253784;0;0;2640
460937;524046;40954;61090;255065;1282;0;2648
471129;551695;45288;60523;257690;2747;0;2656
482238;570250;44922;63343;266052;2380;0;2664
559325;622496;49805;65861;282226;2808;0;2672
482115;562987;46814;61272;264892;2869;0;2680
490599;579039;46631;61688;260375;2014;0;2688
481566;563842;48401;61577;267761;2258;0;2696
484984;568052;51331;61651;274475;1953;0;2704
487547;578368;50476;61744;275085;2197;0;2712
464537;557249;45777;61944;260620;0;0;2720
465637;554320;46143;61847;264220;0;0;2728
469908;550169;42724;63170;262084;0;0;2736
489684;554686;48645;63730;270446;2075;0;2744
521666;612364;48767;66659;284606;2929;0;2752
491698;583556;47302;63595;270080;2869;0;2760
494018;584288;49866;63987;275390;2747;0;2768
570555;669860;60364;68809;304442;2746;0;2776
479552;595091;50903;64054;274596;0;0;2784
484557;566527;44861;64469;267822;0;0;2792
487669;565794;45410;64685;271667;0;0;2800
504393;567443;45959;65762;279723;2259;0;2808
544371;641173;49072;69756;295654;2075;0;2816
