CORE;CPU;DRAM;DURATION;PSYS;UNCORE;EXIT_CODE;INPUT
240500056;270746072;28366809;18054858;87392294;2014;0;2840
244160264;275202299;29840988;18285435;88866533;0;0;2848
244716902;274722624;27165641;18256445;87722920;0;0;2856
257515454;295612036;44290231;19652284;99421315;2258;0;2864
250087372;281624463;29795822;18743394;90796887;0;0;2872
248939304;278395588;24940732;18535344;88227924;0;0;2880
252508692;283913153;29085618;18874114;91106029;2198;0;2888
258197521;292541976;35115266;19480950;95818237;0;0;2896
257262586;289575186;30395308;19262757;93265265;0;0;2904
262158570;296583714;34538364;19741388;96802853;1892;0;2912
266548573;302282490;36902249;20092363;98921316;4882;0;2920
265340569;299517972;33241004;19962137;97267817;0;0;2928
269779583;305327832;35909271;20303646;99691945;2808;0;2936
269707745;303808976;32471962;20187256;97863764;0;0;2944
276258997;314585865;41299577;20957324;104127480;0;0;2952
276315882;313460013;38425134;20879869;103035381;2136;0;2960
279013446;316625655;39174399;21078576;104096963;0;0;2968
283155403;321699250;40702106;21404336;105972446;0;0;2976
283567267;321499116;39020530;21414130;105423680;4883;0;2984
282143809;318095805;34516574;21174822;102914349;8362;0;2992
283621345;319790441;34773898;21306849;103590433;6958;0;3000
293314801;334015075;43956675;22216039;110429221;1953;0;3008
302367390;347235989;52184498;23142621;117178900;12573;0;3016
289306205;324853843;32105264;21649352;104076882;2625;0;3024
294258586;331786627;36120208;22080759;107243866;0;0;3032
308062016;354010690;53864364;23549650;119471557;5127;0;3040
299064908;337242362;36630278;22493405;109352137;2502;0;3048
306121958;347345913;42751295;23124679;113989332;0;0;3056
307063484;347380398;40481281;23124993;113342789;2014;0;3064
315101061;358296385;46499576;23825596;117824222;0;0;3072
308697391;347563502;36482816;23192345;112256854;0;0;3080
323509304;371759790;56601845;24716934;125376998;2014;0;3088
320539402;364466779;46642459;24289576;120356015;0;0;3096
322136871;365960550;45888798;24437092;120700253;5921;0;3104
332334904;381681152;57715306;25339751;128347389;0;0;3112
332007450;380866518;56137246;25445499;128452919;2197;0;3120
334560056;382464780;53645249;25455278;127606363;4333;0;3128
331112555;375954665;46682742;25102466;123859058;4578;0;3136
327716141;369703338;40676409;24597668;119692504;8667;0;3144
341400249;389953713;53976791;25989394;130146151;6714;0;3152
336892387;382206846;46838747;25473365;125412582;7507;0;3160
345807647;395366663;55522440;26313608;131820280;1953;0;3168
338414967;384195977;47742553;25652849;126630108;2564;0;3176
352561658;403096136;56868018;26771475;134393821;0;0;3184
350134541;398986954;52964892;26630511;132616909;0;0;3192
353574900;403259710;54399153;26873273;133876244;2868;0;3200
360932425;411855635;56194375;27404045;136897110;0;0;3208
352684889;398658953;45515020;26605793;130056246;2014;0;3216
379186346;437517069;67463267;29349629;149046677;425658;0;3224
372674339;427843021;64446612;28329014;143597777;29113;0;3232
370536710;424685131;62000452;28281303;142572633;26794;0;3240
367072729;419738122;58918001;28036808;140611090;28992;0;3248
378201668;433359975;63079368;28817079;145264643;28382;0;3256
371112942;422976579;56224893;28253364;140609809;27771;0;3264
375888930;428047427;56139016;28507209;141609013;26673;0;3272
383646662;439194677;62875755;29260287;147183156;30273;0;3280
389731668;447256179;66474928;29809308;150758403;27283;0;3288
385290335;439340245;58879366;29291651;145944024;29480;0;3296
396317589;454890071;67553049;30362490;153390111;32592;0;3304
396237816;453816893;65413651;30236563;152241432;30639;0;3312
395656641;451401371;61017178;30096576;150200360;28382;0;3320
395055629;450431647;60447660;30031504;149863996;30334;0;3328
407856988;468128196;69702459;31191160;157653038;29297;0;3336
403128057;460068769;62169457;30781889;153592990;48279;0;3344
403967166;460234906;61064907;30603973;152590124;32654;0;3352
405131898;461478860;60820279;30810020;153292272;31128;0;3360
421626545;484881205;74543266;32246180;163844185;29480;0;3368
417713470;478587825;69169501;31965814;160962845;28625;0;3376
426176155;490482814;76071400;32685357;166264773;28259;0;3384
428607485;493028401;75876819;32880031;167147948;29419;0;3392
423984633;483583295;65053300;32247767;160778397;28320;0;3400
432803946;495732557;71595642;33020749;166230043;29602;0;3408
436117475;500322205;73912470;33368946;168616024;28626;0;3416
431797783;492676595;66667676;32883557;164155403;26733;0;3424
442508206;507022567;73542414;33794530;170236930;27710;0;3432
447214004;513977566;78025740;34292336;173884016;27221;0;3440
448623974;516197714;79815714;34409315;174999430;26734;0;3448
455714471;526277034;85677882;35090448;179678862;29480;0;3456
450444281;514353602;70536929;34330583;171717029;30212;0;3464
456565177;523642763;77148118;34893517;176196631;27587;0;3472
456405631;521994819;73508418;34868947;174980631;27160;0;3480
456507437;522191962;73861017;34817114;174937968;29663;0;3488
471452284;542493057;83951995;36142139;183844866;25878;0;3496
460655559;525640378;71066163;35160827;175506631;28808;0;3504
477154907;549022276;84990627;36525378;185738905;30701;0;3512
465468474;530817611;71104433;35500805;176965062;28015;0;3520
472409984;538431666;71722778;35867517;178610871;29846;0;3528
477342223;544604319;73602168;36359180;181541833;29907;0;3536
473182138;536871733;65820815;35813889;176581274;30395;0;3544
485193827;554209458;76395068;36965159;184897720;30640;0;3552
497681405;573176939;89680129;38233029;194703970;33386;0;3560
503129998;580190349;92496284;38666229;197492048;32898;0;3568
488327302;554664229;69195990;37063851;183114033;25879;0;3576
508680887;586902367;94700991;39096311;199957008;28015;0;3584
515037622;594417179;95748901;39654920;202731415;28320;0;3592
506132677;579214582;82304599;38669396;194315542;28686;0;3600
501335692;569521125;71328186;38031117;188011482;26917;0;3608
509364175;580942910;78109969;38750456;193366509;30212;0;3616
524637695;603761271;93618596;40224755;204635890;28748;0;3624
523749269;600626209;88123431;40127223;202602997;29602;0;3632
518466629;590061295;76409961;39377275;195461658;29602;0;3640
524597473;598908562;81883884;39963193;199685218;27099;0;3648
537052702;618335881;96324827;41244940;209786023;30884;0;3656
534890233;612199849;87080404;40886602;205306848;26856;0;3664
542385208;623131401;94091311;41564107;210645152;27771;0;3672
530466294;601955246;73726068;40243872;198349407;27405;0;3680
551972708;633790614;95027955;42231873;213753359;26550;0;3688
562663233;650547224;107584075;43363660;222520792;31921;0;3696
552128348;631619843;89158036;42203469;211913703;26000;0;3704
555114607;635570028;91141551;42388319;213254276;31188;0;3712
564515461;647966664;96398984;43267273;218730336;30151;0;3720
571029727;654753024;96087278;43648723;220287949;26916;0;3728
562433252;640083932;82601107;42795468;212268316;28748;0;3736
575305962;661239884;100530687;44103263;223637001;28503;0;3744
559526460;634816307;77578170;42437692;209051589;27771;0;3752
572142395;652079019;86616599;43540285;216823175;28381;0;3760
585802089;670086114;94664797;44686035;224411290;30762;0;3768
587378257;673470504;98650200;44937872;226757842;28931;0;3776
585567471;667821777;89560500;44608674;222562418;27160;0;3784
585245756;665785894;85415797;44493293;220638961;30152;0;3792
591438855;675430155;92977362;45047632;225519137;29724;0;3800
605714819;694960135;102883525;46350321;234195140;32043;0;3808
602461227;688788459;96214842;46008873;230674947;28625;0;3816
604014506;689656743;94519900;46036528;230238790;26062;0;3824
600712696;682577720;85885034;45575215;225475070;29358;0;3832
608485380;690921022;86083154;46083967;227355863;28199;0;3840
634869530;732881730;118594667;48870125;250071991;28015;0;3848
638321425;737959598;121667230;49250429;252608423;28198;0;3856
