CORE,CPU,DRAM,DURATION,PSYS,UNCORE,EXIT_CODE,INPUT
52157459,58948396,6949323,3842212,18969373,10803,0,2080
52366626,58895968,6277633,3836147,18699598,12023,0,2088
53076158,59574188,6090195,3865499,18764112,8239,0,2096
54851056,62319238,8097635,4048905,20283944,15992,0,2104
56312051,64206989,8816200,4200164,21196173,16113,0,2112
55115398,62187646,7086713,4058145,19956736,6653,0,2120
55234721,62041162,6407210,4047203,19658763,10620,0,2128
56522072,63919941,7656718,4162037,20620980,10559,0,2136
57273352,64927324,8094462,4238475,21114021,6897,0,2144
58500338,66506910,8720498,4332821,21731146,11718,0,2152
58074314,65641434,7677044,4295028,21169989,11963,0,2160
58979036,66396375,7257489,4324975,21145820,4821,0,2168
59891753,68047495,8826393,4448248,22247136,11474,0,2176
60931912,69221564,8980506,4514193,22601688,10498,0,2184
59107881,65896194,5605821,4319120,20505441,2991,0,2192
62516259,71106386,9404700,4628202,23220094,13550,0,2200
61616420,69426397,7618633,4556015,22253483,11352,0,2208
62507774,70256168,7380535,4587077,22301945,3906,0,2216
64643206,73451594,9557043,4791768,23993042,13611,0,2224
63764912,71961974,8149760,4723153,23170717,11108,0,2232
63047996,70222538,5845505,4583865,21748968,1831,0,2240
66855481,76260608,10598056,4976851,25167538,11962,0,2248
66214735,75013785,9157508,4931931,24440734,12084,0,2256
68643501,77856918,9784887,5088696,25311581,2075,0,2264
68537910,78211287,10876376,5127182,25913203,11780,0,2272
67657176,76270557,8454996,5005574,24475340,13244,0,2280
66866955,74185479,5521287,4840497,22691776,1709,0,2288
70820681,80709022,10964877,5287819,26650628,16296,0,2296
70612185,80461525,10780551,5323960,26708977,14831,0,2304
72823788,82830416,11024081,5381058,27058524,14404,0,2312
72017638,81770787,10373387,5381524,26830193,14831,0,2320
72031188,81219213,9038918,5329844,26102289,15076,0,2328
73248164,83180634,10643894,5451121,27207205,15503,0,2336
72939511,82244602,9116065,5415206,26477960,14526,0,2344
75115103,84999233,10190953,5566085,27501090,14404,0,2352
74723868,84309049,9487036,5540909,27171684,14465,0,2360
74794608,84064788,8758279,5498946,26750053,13672,0,2368
77321213,87761677,11092135,5758312,28691638,16419,0,2376
77930892,88369280,10910677,5821513,28877245,13794,0,2384
80583656,91797555,12425445,6012256,30254379,15198,0,2392
79827127,90970104,12308929,5985343,30109298,12878,0,2400
80816626,91821359,11815155,6024856,30139389,14954,0,2408
81034216,91812265,11141939,6057606,29981796,14343,0,2416
82888704,93891422,11461152,6152265,30490218,16723,0,2424
81515295,92177987,10791415,6073054,29948165,10498,0,2432
83481475,94499575,11335176,6212421,30712995,16907,0,2440
84955777,96553525,12501128,6339899,31697490,10132,0,2448
86576499,98553824,13070645,6482043,32473671,18982,0,2456
84800808,95647155,10560397,6317096,30880048,11841,0,2464
86914634,98387504,11827484,6455257,31964945,15198,0,2472
87592976,99082755,11666901,6534634,32238137,9583,0,2480
88946489,101003831,12801359,6650687,33146949,16113,0,2488
89221573,101082688,12303069,6658053,32990333,12573,0,2496
90991161,103401530,13267789,6803906,33984410,16724,0,2504
90346388,101887008,11261934,6715643,32846413,8545,0,2512
92825141,105524693,13671718,6942347,34721042,19104,0,2520
91753610,103430948,11316804,6824351,33313086,9461,0,2528
95184632,108504300,14724266,7131099,35910064,18737,0,2536
96537656,110364098,15705893,7272690,36870511,9155,0,2544
97185176,111190267,15967366,7328470,37227444,17822,0,2552
93894108,105488744,10763583,6962626,33599279,9887,0,2560
104425026,120124327,16908709,7988269,40307697,596373,0,2568
112633745,127985390,17020648,8488451,41927383,99976,0,2576
98383599,109615625,10971408,7124260,33565954,4089,0,2584
97577325,108488248,10103184,7152833,33424841,0,0,2592
98753470,109751733,10072728,7242783,33763158,0,0,2600
102907269,116057870,14320398,7640699,37217434,0,0,2608
102491681,115003001,13029874,7604162,36551359,0,0,2616
101599654,113327103,11458528,7463333,35222321,0,0,2624
102478741,113987379,10689853,7515172,35124483,0,0,2632
102144758,113419083,9646094,7503489,35031527,0,0,2640
104028298,115166210,9527808,7578123,34868196,6226,0,2648
104432289,116263680,11125216,7675284,35869781,0,0,2656
107774322,121653620,15550497,8037422,39189902,122,0,2664
105995823,117504215,9609778,7741814,35885467,0,0,2672
106896088,118265628,9580420,7806064,35847137,5310,0,2680
108038725,120145140,11223238,7919024,36931973,3845,0,2688
109231044,121247859,10766696,8012400,37217678,0,0,2696
111175253,123605091,11295382,8144056,37975428,4700,0,2704
111675068,124389879,11747834,8226903,38632836,0,0,2712
112139788,124766221,11710785,8250421,38493981,0,0,2720
115192759,129360203,14548852,8522165,41032976,3113,0,2728
116983709,132092435,16976031,8741943,42554395,0,0,2736
117411870,131469451,14388879,8683885,41355729,61,0,2744
119966428,136564043,19626293,9028125,45143867,0,0,2752
119759947,135005697,16831805,8925445,43252269,5005,0,2760
117332219,129652195,10121068,8574872,39198630,0,0,2768
121790521,137055008,16568500,9053892,43748179,0,0,2776
123870349,140055732,17978042,9252989,45490668,0,0,2784
119645141,132215787,10295688,8739617,39928060,0,0,2792
123945117,139373178,15974020,9256296,44628243,9582,0,2800
122567131,135511188,10830356,8928444,40944964,0,0,2808
123915637,138245618,13949305,9135894,42996411,4273,0,2816
127474466,142364992,14624779,9417822,44521981,122,0,2824
128847326,144057920,14745201,9514475,45151618,0,0,2832
128495765,143436462,14588464,9487177,44667305,0,0,2840
128806616,143175232,13144193,9477373,44123545,0,0,2848
133473658,151514321,20801948,10038404,49734858,0,0,2856
132248624,147649646,15097923,9743261,45984684,5615,0,2864
130780427,144831599,11948883,9612605,44242379,0,0,2872
136439897,153703219,18423476,10161680,49240718,7141,0,2880
139116282,158073021,22631717,10452118,51791982,0,0,2888
135079122,150306744,13553310,10016524,46877077,4700,0,2896
138253064,153835909,14548913,10123500,47517640,0,0,2904
139123484,155162017,15430503,10271962,48415525,7873,0,2912
142329470,160735123,20651497,10654056,51890431,61,0,2920
143087891,161724378,20630196,10694411,52366260,0,0,2928
142644044,159091146,15839559,10532823,49590205,0,0,2936
145620721,163676766,18803114,10845236,52248951,0,0,2944
143017822,158651449,13738368,10519849,48689146,5188,0,2952
146476005,164742193,19643687,10915478,52608630,183,0,2960
148332079,166889221,19498363,11056333,53495407,0,0,2968
148651475,165851992,16725604,10972112,51750051,0,0,2976
151930947,171417652,21653570,11365617,55237347,61,0,2984
148814194,165399234,14491174,10977149,51191214,8606,0,2992
149635481,165673343,13620571,10952107,50419610,6592,0,3000
151394877,168522579,15881979,11185091,52201465,3418,0,3008
153519809,171047841,16588276,11345506,53230698,0,0,3016
158807150,179697233,23503724,11875086,58284336,0,0,3024
157234216,176527197,20250497,11708802,56074991,61,0,3032
157134668,175298074,16937212,11628727,54755231,11963,0,3040
161735609,181780419,21346625,12047468,58053379,61,0,3048
162081372,182670553,22031559,12117903,58803499,0,0,3056
160374895,178302583,16381550,11814998,55084576,0,0,3064
